,adj_close,adj_high,adj_low,adj_open,adj_volume,close,date,frequency,high,intraperiod,low,open,volume
70,101.625983174633,102.828945650365,100.550575945271,101.207769252103,35656136.0,102.06,2019-01-07,daily,103.2681,False,100.98,101.64,35656136.0
71,101.496536008135,102.0740695202,98.5092937043542,99.2959341776833,44060620.0,101.93,2019-01-04,daily,102.51,False,98.93,99.72,44060620.0
72,96.9858001294259,99.7589567347693,96.7866506425072,99.6743182028289,42578410.0,97.4,2019-01-03,daily,100.185,False,97.2,100.1,42578410.0
73,100.689980586114,101.317301469908,98.5192511787002,99.1266571138023,35329345.0,101.12,2019-01-02,daily,101.75,False,98.94,99.55,35329345.0
74,101.138066931682,101.964537302394,100.012872330591,100.859257649995,33173765.0,101.57,2018-12-31,daily,102.4,False,100.44,101.29,33173765.0
75,99.963084958861,101.97449477674,99.0967846907645,101.65585559767,38169312.0,100.39,2018-12-28,daily,102.41,False,99.52,102.09,38169312.0
76,100.74972543219,100.759682906536,95.9900526948322,98.8777202551539,49498509.0,101.18,2018-12-27,daily,101.19,False,96.4,99.3,49498509.0
77,100.132362022742,100.261809189239,93.5604289544236,94.7354109272441,51634793.0,100.56,2018-12-26,daily,100.69,False,93.96,95.14,51634793.0
78,93.7297060183045,97.5533761671443,93.5803439031155,97.2646094111121,43935192.0,94.13,2018-12-24,daily,97.97,False,93.98,97.68,43935192.0
79,97.8122705001387,102.561985763151,97.0455449755015,101.197811777757,111242070.0,98.23,2018-12-21,daily,103.0,False,97.46,101.63,111242070.0
80,101.078322085606,103.866414902468,98.3599315891652,102.61177313488,70334184.0,101.51,2018-12-20,daily,104.31,False,98.78,103.05,70334184.0
81,103.24905149302,106.425485809374,100.919002496071,103.209221595636,68198186.0,103.69,2018-12-19,daily,106.88,False,101.35,103.65,68198186.0
82,103.527860774706,104.065564389387,102.084026994546,103.308796339096,49319196.0,103.97,2018-12-18,daily,104.51,False,102.52,103.75,49319196.0
83,102.452453545345,105.350078580013,101.277471572525,104.961737080521,56957314.0,102.89,2018-12-17,daily,105.8,False,101.71,105.41,56957314.0
84,105.579100489969,108.795364703707,105.051354349635,107.789659794767,47043136.0,106.03,2018-12-14,daily,109.26,False,105.5,108.25,47043136.0
85,108.98455671628,110.398518073403,108.168043819913,109.114003882777,31333362.0,109.45,2018-12-13,daily,110.87,False,108.63,109.58,31333362.0
86,108.61613016548,110.79681704724,108.576300268097,110.418433022095,36183020.0,109.08,2018-12-12,daily,111.27,False,109.04,110.89,36183020.0
87,108.128213922529,110.47817786817,106.983104372747,109.333068318388,42381947.0,108.59,2018-12-11,daily,110.95,False,107.44,109.8,42381947.0
88,107.132466487936,107.520807987427,103.448200979939,104.354331145419,40801525.0,107.59,2018-12-10,daily,107.98,False,103.89,104.8,40801525.0
89,104.374246094111,108.98455671628,103.856457428122,107.919106961265,45044937.0,104.82,2018-12-07,daily,109.45,False,104.3,108.38,45044937.0
90,108.725662383286,108.775449755015,104.553480632338,105.369993528705,49107431.0,109.19,2018-12-06,daily,109.24,False,105.0,105.82,49107431.0
91,108.058511602108,112.15830251456,107.751323518536,111.463967828418,45196984.0,108.52,2018-12-04,daily,112.6373,False,108.2115,111.94,45196984.0
92,111.613329943607,112.937674031617,110.25911343256,112.519460109088,34732772.0,112.09,2018-12-03,daily,113.42,False,110.73,113.0,34732772.0
93,110.418433022095,110.498092816862,108.894939447166,110.229241009522,33665624.0,110.89,2018-11-30,daily,110.97,False,109.36,110.7,33665624.0
94,109.721409817879,110.642476194878,108.566342793751,109.860814458722,28123195.0,110.19,2018-11-29,daily,111.115,False,109.03,110.33,28123195.0
95,110.647454932051,110.856561893316,107.401318295276,107.431190718314,46788461.0,111.12,2018-11-28,daily,111.33,False,107.86,107.89,46788461.0
96,106.684380142368,106.873572154941,104.911949708792,105.818079874272,29124486.0,107.14,2018-11-27,daily,107.33,False,105.36,106.27,29124486.0
97,106.017229361191,106.176548950726,104.135266709809,104.344373671073,32336165.0,106.47,2018-11-26,daily,106.63,False,104.58,104.79,32336165.0
98,102.631688083572,103.368441610428,101.566238328557,101.735515392438,13823099.0,103.07,2018-11-23,daily,103.8099,False,102.0,102.17,13823099.0
99,102.671517980956,103.98590459462,101.805217712859,103.159434223907,28130621.0,103.11,2018-11-21,daily,104.43,False,102.24,103.6,28130621.0
